,Reviews
617,Корепановичичей
618,Спасибо за видео!!!
619,"Приятное, четкое преподношение темы. Почти гипнотическое )) Спасибо!"
620,Про С++ и UE пожалуйста
621,Благодарю вас за информацию✨
622,"pfff... покупается угашенный мак любой, ноут с разбитым экраном, моноблок, итд - и тупо подключается к телику чтобы выполнить всего 1 задачу - сбилдить код в файлы для заливки в app store"
623,"Мне 35. Последние 2 года работал сам на себя трейдером на фондовых рынках, иногда брал заказы по 1С и был внештатным консультантом по проектам. До этого почти 10 лет работал программистом 1С, последние 3 года из них Руководителем проектов/Архитектором. Всегда мечтал работать в GameDev, но как-то руки не доходили. Весь мой предыдущий опыт работы связан с Enterprise проектами и разработкой. От Enterprise тошнит уже, если честно. Не поздно ли мне дёргаться в совершенно другую сферу в таком возрасте? Да, будет проще изучать другие языки программирования, т.к. логика сего процесса +- везде одинаковая (сам 1С написан на С++ в основном), но всё равно куча новых нюансов, фреймворков и т.д. Да и морально непросто соглашаться на понижение даже не столько ЗП, сколько должности. Ну то есть фактически с Senior/TeamLead перескочить на Джуна. Стоит ли игра свеч? Интересно, может у кого похожий на мой кейс был/есть?"
624,"flax engine, stride engine, godot сейчас будут пытаться вытеснять unity"
625,"После просмотра этого видео, почему то настрой пропал искать работу в сфере IT, хотя очень хочется. Самому вот вот скоро 20 лет будет, учусь в Университете на Агронома. Увлекаюсь C# начиная с 11 класса (До этого вообще и думать не думал, что мне понравится этим заниматься, по этому и не мечтал пытаться поступить в ВУЗ на программиста). Наверное останется у меня это на уровне Хобби до лучших времен."
626,Вы меня заразили! Теперь я болею программированием. Я хочу игрулю создать в голове  я уже дощёл до 3 уровня и благополучно сразился с драконом!
627,"Спасибо вам за данные видео, Алексей, смотрю с удовольствием! Я с 13 лет ходил в компьютерную академию сейчас мне 26, честно сказать учился хорошо но языки программирования давались сложно. Объясню: Менторы так званные, всегда унижали нас, говорили что мы станем дворниками и программирование это не для нас, занимались лично с теми кто платил им деньги. А это был всего 1 человек из 18 чел! Из за этого мне навеяли мнение что я остолоп в Программировании. Но стараюсь по вашим видео, вновь углубиться в изучения программирования. Спасибо огромное вам!"
628,Хакинтош на виртуалке очень хорошо работает))
629,"Спасибо, очень интересно"
630,"26 думаю начать изучение программирования, только не знаю какой язык учить, и стоит ли опираться на то что нравится или на востребованность. Посмотрев видео и почитав комменты, понял что еще ничего не поздно начинать."
631,"Я что-то не понял, а разве Юнити код можно конвертировать для Андроида и Мака? Но это только игры, так?"
632,"да уж такую базу года 2-3 учить, потом еще от 6 мес и до 1 года собесы ходить, а если раньше залетишь то это будет мега везение коих единицы"
633,Год учить С# чтобы понять что ты ДЖУН никому не нужен?
634,"Огромное спасибо, редко пишу коментарии, но это видео определённо заслуживает, всегда сложно систематизировать знания, автор молодец"
635,"Цель именно изучить с какой-то минимум практики? Я просто например не понимаю как практиковать полиморфизм, интерфейсы и в целом ООП. Или мне надо просто понять, а практика сама придет во время разработки игры на unity?"
636,"Спасибо, ждем больше уроков по сложным темам."
637,"Привет, у  меня такой вопрос, коммерческого опыта нет, знаю C, Python, люблю Computer Science. Хочу в backend, выбираю между Java, C#, Golang что посоветуете, и почему? интересно ваше мнение."
638,Когда новый видос?
639,"В чем разница net, net core, asp net, что еще там есть?"
640,"Привет, будут еще видео?"
641,В какой момент ты начал разбираться без путаницы в терминологии си шарпа ?
642,Хмм а тут есть урок по теме: запросов клиента серверу. Намучался как-то так и не понял до конца
643,Буду писать коменты своих мыслей так ибо не жалуйтесь это продвигает канал. Сеньёром ты не станеш тупо зная от и до тебе нужно особое мышление для решения задач которых ещё не было тоесть создание чего-то нового и если ты способен это сделать то ты красавчик
644,Изучить. ну это не особо поможет если ты знаеш что это как это работает но не понимаеш как это использовать так что лично я учил то с чем приходилось работать и довольно не плохо получилось
645,Если ты относиш себя к разработчикам то ты разработчик а то насколько хорош решать уже не тебе
646,"Hello, what do I need to learn to reach junior level in C#?"
647,А про какую консоль ты говорил в конце?
648,Спасибо большое
649,"братан, когда новые видео?"
650,when will the sequel?
651,"Привет
Почему все обходят стороной обучений на сайте микрософт на русском?
У меня возник очень сильный диссонанс когда я обнаружил что очень мало курсов по C#.
И на это были видно определенные причины.
Судя по наработкам Майкрософт в области С# за этим языком будущее.
Несмотря на огромное количество Java legacy с каждым Новым годом он будет отступать."
652,А чё всё? Больше не будет?
653,"Добрый день! Скажите, курс C# | С НУЛЯ ДО УРОВНЯ SENIOR |  полностью уже готов? Можно ли купить его сразу?"
654,СЕООНЛИ одобряет!
655,"Есть ли смысл учить C# на макбуке? или лучше сразу взять обычный ноутбук? Боюсь просто, что использование макбука только затруднит обучение..и будет много нюансов, которые зависят от платформы"
656,"Вроде все правильно, но без практики - теория мертва. Не так то просто найти задачи по пройденной теме, которую можно было бы решить самостоятельно. У меня пока что кроме метода гугления и копипасты ничего хорошо не получается. А просмотр видосиков не делает из меня программиста."
657,Классный видос)
658,"Не знаю, как по мне такой ролик только отпугивает даже пытаться изучать . Не знаю ни одного слова из ролика и даже не джун. Но за счет практики и набивания куча шишек я в сто кратно сложнее написал приложение чем в конце ролика с кучей функций) Практика, гугление, туторы и меньше заумных слов)) Имхо, как и с любым языком надо пытаться на нем говорить, решать реальные кейсы в первую очередь. Автору спасибо.
У меня вообще сложилось подозрение, что тупо за чёт упорства и практики можно написать что угодно, разбивая сложную задачу на много мелких."
659,"Возник вопрос, а что насчёт алгоритмов и структур данных, а также паттернов дот нет? Их надо учить? Если да, то на каком этапе?"
660,23.04.2025 полгода и я буду на работе.Я смогу
661,"Я понял, эти видео нельзя смотреть. Надо просто учиться дальше, иначе пропадает желание, начинаешь понимать, что ты в начале пути и еще многое предстоит пройти. Но если не думать об этом, а просто херачить то можно добраться до цели, даже не заметив, какой длинный путь ты прошел."
662,"Все это знаю, работу что-то найти не удается..."
663,могут ли взять в какую то компанию без опыта работы но если я знаю язык програмирования и у меня есть 3-5 проэкта на одном из фреймворков? полностью и на хорошем уровне все что сказанно в видео тоесть хорошы знаю сферу бекенд разработки
664,"круто! Тимур подскажи, пожалуйста, название песни на заднем фоне, она очень идеально подходит для моей днд компании)"
665,😢
666,"Здравствуйте. Спасибо за обзор. Помогите понять углубленно. Не видел среди требований умения работы с nginx, управления микросервисами. При Rest методологии говорится о микросервисах.
А кто занимается балансировкой микросервисов, распределением нагрузки, балансировкой веб серверов(к примеру keepalived), проксированием запросов.
Кто обеспечивает защищенность бэкенда и в целом как оно функционирует за кулисами, не с точки зрения устройства http запросов, а с точки зрения продакшна. 
Что нужно реально знать бэкенд разработчику, для того чтобы быть не шестеренкой в механизме, а рычагом задающим направление."
667,Про устаревшие технологии это прям с языка снял
668,Вода
669,Большое спасибо! Ваш контент великолепен!
670,спс спс спс
671,"Выучите PHP, фреймворк к нему, ну и базу HTML, CSS. азы JS, и обязательно английский на среднем уровне, чтобы разговорный понимать и доки читать. Любым способом выберитесь за границу, устраивайтесь Джуном за еду и койку. Там примут, это в России и СНГ с джуна требуют как с мидла, чтобы навариться на аутсорсе и всем подобном. Все остальное можно будет поднять уже там."
672,"Чем ниже по списку тем роднее)) А алгосики, бррр"
673,"Уже не актуально. Большинсто ИТ контор свалило за бугор. Стажироваться негде, джуны сушат сухари."
674,"Спасибо а то потратил кучу времини на пайтон проекти потипу бекдор, сокет сервер типу чат ну и куча других"
675,"Очень хорошее разъяснение , как хорошо, что есть такие люди , которые своим контентом помогают чайникам не свернуть в пиздищу"
676,"Что выбрать, джаву или ноду?"
677,"Где я могу найти проекты с конкретными заданиями. Например, сделать интернет маг. Должен содержать эти эти функции или тому подобное?"
678,"Назовите хотябы 1 причину, почему стоит сидеть без денег, нигде не работать лет так 3-5, чтобы всё это изучить и понять, когда практически на любой другой работе зарплата такая же, а гдето в продажах даже выше."
679,Благодарю вас за информацию
680,"как я благодарен таким как ты людям, которые делятся своими знаниями и помогают молодым людям, которые хотят постичь IT. Ты даешь много полезной информации, что кажется я учусь на твоих видео, а потом вспоминаю что нужно много практики и прочтение разных книг для лучшего осознания. Спасибо еще раз!"
681,5:30 А если идти по пути node.js - важно ли хорошо знать ООП или достаточно разбираться в прототипировании?
682,"Приветик! Хотел спросить,какой язык учить, знаю питон неплохо, по крайней мере задачки на литкоде умею решать, но в вузе будем джаву проходить, поэтому выбор стоит, что же лучше/удобнее/интереснее питон или джава для бека?"
683,можете посоветовать курс или место которое сможет обучить это всё?
684,"Перед этим был сисадмином, от простых задач до поднятия ftp хранилок и написания скриптов на bash, в общем сильно прокачался в знаниях Linux виртуализации нагрузок и тд.А попал джуном еще будучи студентом колледжа на веб-приложения(full stack) управления на тот момент непонятным станком, где в общем-то и остался backend-разработчиком. Могу от себя добавить, что если есть дикое желание, то можно идти и в маленькие или средние компании, так как фронт задач и шансов реализоваться там будет побольше, а вот галера или нет зависит от выбранного места, правда и учиться придется в по большей части самостоятельно, что порой достаточно сложно. Так от сисадмина под виндой/linux, я дошел самостоятельного разработчика бекенда в сфере sip и сотовой связи. Но все-таки скажу, что как разработчику мне не хватает опыта и наставника, который может подсказать по технологиям и по архитектуре приложения. А касательно предоставленного в видео списка, когда я шел на первый испытательный срок в моем случае проект, то уже знал все о чем говориться в видео материале, глубокие знания были только по mysql и работе http, rest api."
685,"Тимур очень просим что-то снять про nestjs, очень"
686,Круто! Я не когда это не выучу пойду искать другую профессию.
687,"Пока не нашла нормального курса, везде отзывы разные"
688,Видос актуален на сегодня?
689,"Недавно закончил изучать HTML, хз как сюда занесло, пойду отсюда 😅"
690,"Может я что-то не так понял, но здесь же (в конечном списке) фактически для backend-разработчика важны лишь пункты Фреймворка и WEB с протоколами. А всё остальное это так, должен на +- уровне понимать любой программист, в основном ради собеседенований?

Может есть что-нибудь исконно для backend, что должен знать вот исключительно backend, чего не названо в списке?"
691,Красавчик
692,3-4 часа в день на учёбу это дохуя если что
693,"Спасибо большое! Теперь я знаю, что должна знать... Страшно. Но нужно делать."
694,Спасибо
695,что за музыка на фоне?))
696,"Забудьте о галерах-веб-студиях. Не гробьте себе жизнь. На галерах научитесь только говнокодить и материться, потому что всегда нет времени и надо делать параллельно несколько сайтов + ловить правки, отвечать на пересланные вопросы от менеджера, который не уточнил то что ты спрашивал и твой ког принципиально надо менять и всё это поверх почти всегда говнокодерского кода в который ды вносишь новый функционал.. 

Единственный плюс в галере - это узнать что ты не так плох как думал.

Учитесь долго и основательно. Хоть по вечерам после работы в типографии."
697,"Охренеть список! Эти же знаний хватит для работы мидл, просто Джуниора можно платить низкую зп."
698,"Тот момент когда учишь учишь, а оно оказывается ещё и половину не прошла лол"
699,"иду по твоему списку, скаждым днем все больше нового открываю себе. Очень рад был наткнутся на твой канал, как ты ооп расписал... Просто шикарно. Удачи тебе и твоему каналу"
700,Большое спасибо за видео!
701,"Прошел стажировку и теперь на испытательном сроке на позиции backend-разработчика. Входил в сферу с минимальными знаниями, по сути только синтаксис языка и немного SQL знал. За первый месяц испыталки очень сильно поднял свои знания, но вместе с этим пришло понимание того, насколько много вещей ещё нужно выучить) Но главное, что мне моя работа нравится. В общем ищите в своих городах компании IT направленности, и пытайтесь попасть к ним на стажировку. Даже если не возьмут сразу, то получите опыт и понимание того, в каком направлении двигаться"
702,"Шикарное видео. Подтверждаю, что все выше перечисленное нужно.
Неделю назад провалил собес на junior бэкендщика"
703,Вопрос PHP не актуален получается?
704,"Спасибо за видео!
Такой вопрос, если программист умеет писать качественный код и знает все перечисленное в видео, применяя это все в своей работе, но не может это донести устно, то как ему быть? Как устроиться хотя бы джуном? Заучивать это все не хочется, а точнее быть зубрить эти все определения не получается. Можно ли найти работу где не надо об этом всем устно говорить?"
705,"отлично, я никогда не устроюсь"
706,все
707,"Капец. Ничего не понял. Значит на бэкенд разработчика, даже можно не смотреть в мои 42 года."
708,"Мне кажется или бекендеру нужно знать по более, чем фронтендеру в плане теории ?"
709,"Спасибо за видео! Отметил для себя, где есть пробелы по знаниям."
710,"Это уже на мидла. Джуна такие вещи не спрашивают, типа структур, алгоритмов, поисков и так далее."
711,"не знаю что там с нодой, но джава - это кишки спринга, спринг бута, вебфлюкса, рест апи, jdbc простой, jdbc тэмплейт, хацбернет или другая орм, и в основном posrgresql, сюда же алгоритмы и структуры данных - всякие деревья и их крутить, время выполнения, о большое и тд и тп"
712,"Я это видео не раз пересмотрю, поэтому спасибо за него. Четкая структура действий поможет ускорить и систематизировать обучение"
713,Тут backend имеется ввиду только web или я не так понял?
714,"У меня такой вопрос,планирую обучаться на веб-дизайнера в academy-html .хочу попробовать создавать сайты и их дизайн.
Есть две профессии бэкэнд(который создаёт скилет сайта на основе html кодов) разработчик и фронтенд (который создаёт дизайн сайта)

У меня возник вопрос..если дизайн делается на основе html и css ,то зачем нужен фронтенд разработчик?
Чем отличаются эти две должности?"
715,Это топ!
716,"блин как практиковаться в бэкэнде? если по фронту предельно ясно верстай себе странички да прикручивай эффекты и фичи, то возможно ли учится бэку без верстки, чисто джс/нода и тд?"
717,"Спасибо за видео! Очень помогло структурировать модель обучения. Согласен, что Фреймворк надо в последнюю очередь."
718,"ОБОЖАЮ ваши видео!!! 
  Каждый раз просматривая, понимаю как же хорошо что я не пошёл в Back-end"
719,Кто-нибудь объясните как практиковаться начинающему бэкендеру без фронтедрера? Я чего-то не понимаю
720,Хахха лучше фронтед учить
721,Очень интересно спасибо!
722,"Спасибо большое Тимур за видос. А вот если мне нет  14 лет (возраст для работы) и я изучаю Back end разработку, то мне по какому пути? я хочу вначале немного подучить, на фриланс потом (на время фриланса тоже буду немного учиться), и когда мне стукнет 14, то я пойду на собесы. Что скажете по этому варианту?"
723,Спасибо большое !
724,"Что за музыка на фоне, можно пожалуйста название композиции"
725,"Отлично, превосходно, восхитительно прям охуительно. Теперь я перестану метаться со стороны в сторону и хотябы буду понимать что мне нужно знать и что не нужно. Вот тебе лайк мэн."
726,что плохого в PHP?
727,"Толковое видео. Только плохо что вы английский не любите. Английский - не техническое знание, это знание номер один для айтишника. Для того чтобы выучить английский смотрите видосы по техническим дисциплинам на английском"
728,Спасибо
729,Хотелось бы такое же по Frontend
730,Не хилый такой списочек:)
731,И зачем? Чтоб потом получать $500?
732,"Классное видео! Если честно, на базавом уровне я можно сказать изучал все почти, точнее пробовал все, 6 7 лет все еще учусь если честно, с перерывом правда 2 года и год был перерыв, вот и все свои первый проект реализовать все не могу ) но все еще стремлюсь к этому! )"
733,"""потратьте 2-3 месяца и сделайте хороший учебный проект"" - ты не сделаешь хороший проект с нуля
 без ревью со стороны, сколько бы ты книжек не прочел"
734,"Эх, как же много. Я только в начале этого пути, но каждый день понемногу.  Проще будет тем, кто в техникуме или универе такое учил (пошел на подобную специальность (программирование)), для меня это совсем другая сфера иии я прекрасно понимаю, что когда-нибудь хотя бы половина этого будет мне понятна. 

Всем остальным УДАЧИ! Не сдавайтесь, не получается - поменяйте подход. Программирование открывает двери куда угодно и на сколько (времени, денег) угодно."
735,"Привет. Очень нравится твоя подача информации. У меня история такая: не планирую пока учиться чтобы идти работать джуном. Хочу собрать свой проект. Сейчас на работе сидим маленькой компании в гугл таблицах, копошимся. Записываем заказы, распределяем по исполнителям, ставим назначения, стоимости и т.п. Хочу мигрировать с этого на свою систему (разделить роли, доступы, сделать интерфейсы, повесить это на БД ).  Начал с изучения SQL+PostgreSQL. И думаю куда дальше двигать? пойти в JS+Node+React или уйти в Pyton+Django... + немого Js. Можешь как-то направить?"
736,"для меня ,как для начинающего, выглядит страшно)"
737,отлично) лукас с ходу от СЕООНЛИ
738,"Почему автор постоянно называет операторов фреймворков разработчиками? Почему не говорит, что, следуя его советам, вы станете никем в разработке, которого заменить на такого же никто займет 1-2 дня времени? Почему не говорит, что разрабатывать вы ничего не будете по факту и 80% рабочего времени будете тратить на оформление тех 20 строк кода, что скопировали с форумов в оставшиеся 20%, по стандартам компании? Ну и главное, я видел один из ""хороших проектов"" автора - шахматы, писать в стиле ООП, не используя принципы этого самого ООП, там где это напрашивается интуитивно - показатель на самого высокого скила, по крайней мере не того, который дает право что-то кому-то советовать."
739,"круто, спасибо"
740,"Кому интересно, сейчас на джуна backend\fullstack python в СНГ нужно:
- знать 100% документации версии 3 (весь docs.python и все PEP)
- знать всё, что под капотом интерпретатора (это далеко не джуновское)
- знать что там за баги были в версии 2 (кому это надо?)
- flask + django + tornado + pandas + numpy + scypy + tensorflow + pytorch + scikit + seaborn + opencv (короче, все веб-, ML-, мат- фреймворки, а что, а вдруг)
- всё об асинхронности, многопоточности, многопроцессности и как это реализовать в питоне (хотя до сих пор нету там, ибо GIL)
- сокеты и другое low-level, что обычно делает ОС или C++, srsly
- знать все типы БД и как они работают и иметь опыт PostgreSQL, redis, mongodb, elastic, cassandra, prometheus (на собесах спрашивают как обрабатывается запрос ядром)
- обязательно знать сетевые технологии, начиная с OSI и URL, DNS, HTTP, заканчивая cookies, SSL\TLS (HTTPS), REST API, RPC, OAuth, OpenID, протоколы маршрутизации, очень желательно знать датаграммы этого всего (датаграммы, Карл!), хотя бы на процедуры установления сессии
- иметь представление о DOM, понимать как рисуется страничка, т.е. хотя бы чуть-чуть HTML + CSS + Javascript (не чуть-чуть, а + js фреймворки, если это веб-разработка)
атрибуты
- алгоритмирование и leetcode\codewars обязателен
- портфолио на github обязательно
- ваш код под NDA с предыдущих мест работы в раскрытом виде обязателен
- нужно знать долбанное ООП, SOLID, KISS, DRY, YAGNI, clear code и не уметь это применять, любить boilerplate
- нужно знать книжку банды четырёх наизусть (пофиг, что в вашем языке уже реализовано 90%), знать как сделать велосипед
- нужно знать книжку дедушки Мартина (про антипаттерны не слышали, я ржал в голосину, когда мне на собесе показывали дата-объект и объект-интерфейс на питоне)
- CI\CD обязателен, нужно уметь в docker, kubernetes, chef, puppet, ansible, у собесеров невероятная любовь к колдунству в виде мониторинговых систем типа zabbix, prometheus, grafana, тыщи их
- всегда отдельным пунктом в вакансии стоит Git, Github, GitLab как особо сильное колдунство
- всегда отдельным пунктом Jira + Confluence (лолшто, мне реально на собесе сказали: ""а вдруг вы не знаете как отписаться в задаче?"")
- новая фишка - знать ещё 1-2 языка, например C#, Go, Haskell, C\C++
- английский B1-B2 или C1 CERFS (если у вас C2, то что вы делаете в СНГ?), нет сертификата - досвидос!
- быть готовым и суметь рассказать всё это за 1 час
- быть готовым работать бесплатно (тестовые задания по 20 человеко-часов минимум + ""опыт в opensource проектах будет большим плюсом"")
- быть готовым получить отказ за неправильный ответ на 1-2 вопроса из 150
- быть готовым получить отказ в случае, если вы спорите с собесером и доказали свою правоту (особенно, если у собесера знаний и опыта - это 2 недели онлайн-курсов)
- быть толерантным к дискриминационным вопросам по любому признаку, иначе отказ по софтскиллз
- быть готовым получить отказ по дискриминационной причине
- быть готовым получить отказ без объяснения причин, фидбека не будет (в компании вас не ждали и не хотели)
- как пройти софтскиллз вопросы: legacy - да, люблю копаться в чужом ____; no blame policy

В целом, в компанию 2 пути: родится там (блат) или быть взятым в рабство, с 2022 года всё стало хуже раза в 4.
С другой стороны, если вы всё это знаете, зачем вам компания? Откройте свою!
С собесов вы получаете 10% выхлопа в виде офферов, 75% из них устные (засудить никого не получится), когда приходите подписывать договор, условия становятся на 20%-50% хуже обещанных (у меня был оффер на контракт 3 мес по 60к\мес, потом HR ""улучшила"" условия и он стал 2 мес по 50к\мес), средние цены по рынку в 3 раза меньше указанных на площадках.

Удачи!"
741,"Всё тое самое, только меньше выделываться и просить меньше зп)))"
742,"годно, апрувед)"
743,"5:04 можете объяснить, зачем тогда вообще нужно знать рекурсию если это плохо и ее лучше не использовать?"
744,"Устраивался на бэкэнд разработчика.
Стек был такой:
Node js, TS, PostgreSQL, Docker, Docker-compose

Думаю стоило среди требований добавить Docker. А именно простую базу - что это, для чего это, и базовые навыки - поднять сервис на докере и подключиться к нему"
745,В Германии обычные PHP-ники со знанием Laravel по 1500-3000 евро зарабатывают. Сам тут живу и работаю в этой сфере.
746,"Самый сильный разработчик на ру ютубе, который не просто копипастит, а понимает что делает и доходчиво объясняет. Хорошо и без лишней воды склеивает видео."
747,"Все классно описано, но хотел бы попросить автора меньше игнорировать php. Многие небольшие предприятия и даже некоторые крупные компании достаточно сильно на нем завязаны."
748,"Бекенд очень грустный :( я начинал с с# ,через 3 месяца выгорел во фронте кажется намного веселее"
749,"Очень заинтересовался обучаться на Java разработчика ,смотрю этот ролик он очень понятен ,но все эти слова как заклинания сейчас для меня звучат"
750,Супер объяснение! Спасибо большое!
751,а теперь пожалуйста на с++
752,IT is dead
753,"недодуманная идея.
Сколько будет весить вся хэш-таблица с 1 тысячей элементов?
даже если принять, что каждый бакет - пусть даже самый легковесный массив, это будет тяжелее, чем обычный массив из тысячи элементов
вложенность хэш-таблиц - тоже не вариант"
754,Что то про количество баке ов в хэштеги таблице как то совсем мимо прошел. Можно ли контролировать это количество? Ты сказал - расширяем размер. Как это происходит? Какой размер хэш таблицы будет если я создал obj=set. Какое количество односвязных списков может образоваться если я циклом добавлю туда 10к элементов?
755,"ЭТО
ПРОСТО
ОФИГЕННО"
756,"Перехеширование при добавлении происходит не очень редко, а log(N) раз, очевидно. При этом, так как  каждый раз копируется N ссылок и пробегается m символов, то O(1) никак не будет."
757,"*_Ничего не понятно.., но очень интересно !!!_* 🤓"
758,"да зависит  вреия этого когтейна от размера  и просто в число бакетов раз быстрее
 расширять число бакектов бескрнечно всё равно не выйдет..  пямять кончится
Это всё справедливо для мизерныго числа данных ну до миллиарда..
 а вот когда их 10^18   и более  все это теряет смысл.."
759,О да в 90е крутая технология кеша (распределенного между сиблингами!) в сквиде )))) Еще и фиксированный по размеру из-за настраивемого процента вероятности ошибочного ответа.
760,"Я не знаю как для питона или js, но по умолчанию в java при создании хэшсета, бакетов не 5, а 16. и удвоение идёт тогда, когда хешсет заполнен на 75%
Уважаемые зрители, данный топик в общих чертах объясняется хорошо, но для более точного понимания всегда читайте исходный код =)"
761,"Только прочитал в книге про хеши, так вот видос тебе. Да какой качественный и понятный
Спасибо ❤"
762,Огромное спасибо!
763,Самая распространённая структура данных - string.
764,Цифровые рабы... ребята вы профукали свою жизнь...гвоздь забить не сможете и детей воспитать
765,"Полезно, просто, понятно. Спасибо)"
766,Спасибо за Ваш труд!  Кто ясно мыслит - тот ясно излагает!
767,"Ох уж эти новоделы. Любят всё переименовывать. Ячейки памяти в бакеты, определение класса теперь сущность. Зачем???"
