,Reviews
76,"Странно, есть ощущение что вы иногда говорите не совсем верно. 1. Функция print не добавляет по умолчанию никаких разделителей, Вы говорите что добавляет пробел. 2. Вопрос от слушателя, на 29 минуте, если вы не будете явно задавать параметр по умолчанию, а просто укажете его место в функции, то всё будет работать бещ указания значения параметров, а просто при передаче параметров в строгом порядке в функцию. Но лекции шикарные, спасибо!"
77,"поднимаем в топ ютуба, развивайтесь ребятки"
78,Гениальный преподаватель :) Однозначно - лайк.
79,Архитектор это уже не улыбчивый дядя)))
80,"Метод проектирования на основе аналогии дома - это пушка! Создание пустых функций, продумывание архитектуры, умные названия, блин, как же это просто с одной стороны, и здорово наводит порядок в голове и программе! Только учусь прогать и вот такая находка :)"
81,"55:15 хах, это самое сложное в программировании - придумать название для переменной"
82,31:00
83,"Изъясняет доходчиво ! Норм!, но как то уж слишком манерно поведение...))) может показалось... студенты как вам там?)"
84,"посомтрел, вот тут сложно было и непонятно, хотя все подряд смотрю, как будто я неделю пропустил и пришел в класс уже отсталым))"
85,"совсем не помешало бы знание английского языка, например height (высота) произносится как ""хайт"", а вот ""хейт"" - это ненависть, простое число - это prime number и т.д."
86,Тимоша совсем *бнулся .....
87,"После этих лекций у меня появилось понимание что именно надо учить чтобы научиться программированию. А лекции на ""Открытом образовании"" вообще никакое сравнение не выдерживают. Интересно, люди, которые их делают не пытались на Youtube посмотреть как читаются качественные лекции. Большое спасибо лектору!"
88,42:16  Перезарядка мелка
89,"""Допустим я строю дом. Кого я вызываю? Я вызываю менеджера по продажам""
Ржал в голос. Сейчас же главное продать, даже если продаваемого не существует ))"
90,"💗 С вас лайк, я честно старался!)
А еще обязательно чекните часовой урок по нейросетям на Tensorflow + PyTorch - https://www.youtube.com/watch?v=1quKqf47V6s"
91,Твое видео сплошной понос в уши а не урок
92,"Еще осталось видео по тому, как делать свой датасет с нуля."
93,"Ну что я могу сказать! Действительно это моя первая нейронная сеть и она не рабочая. Все картинки которые я сделал сам, это были цифры 2,4,7 сетка определила как 3,3 и 5 ... кусок гавна а не сетка"
94,"Доброго дня, автор подскажите пожалуйста а почему инициализация весов начинается в диапазоне -0,5 0,5 почему именно это. Интервал? Не 0 и 1 не -1 и 0, прошу объяснить спасибо"
95,Это не цифра 3. Это буква З
96,это вся инфа есть в ролике Топлес
97,"В твоём коде я, конечно, нашёл интересного, что можно подцепить для себя, но как обучающий материал, твоё видео сомнительное. Ничего не объясняется, просто принимайте как данность"
98,"в чем смысл видео особо не понятно 
объяснений происходящего нет
если тебе лень объяснять, нафига вообще снимать это бесполезное видео?"
99,чем это отличается от матриц?
100,ну вроде понятно круто
101,"Мне нужно разработать приложение с ИИ, которое будет давать советы по окружщей среде с камеры смартфона. С чего начать обучение программированию? Какие языки и ИИ выбрать для этой задачи?"
102,"ЛОЛ, ИИ напишет это изи сам, всяике ИИ агенты и так далее, вот уже сейчас, а в ближайшие годы вообще борода."
103,"На ютубе много бессмысленных видео , которые поверхностно объясняют и даже не полностью , что? Кого ? Куда ?
Вы так объясняете все в теории, а на практике "" это туда, это сюда, так надо""
Неужели нету человека который действительно шарит в написании и создание кода полностью, объясняю все от а до я , а не за 10 минутили или  час 
И в принципе вы объясняете то что сами где то вычитали поверхностно"
104,"ничё не понятно, но очень интересно"
105,Благодарю!!!
106,"Фантастика! Второй год изучаю Python и только сейчас начинаю понимать его мощь и возможности. Спасибо, автор. Я подписался"
107,"Видео хорошее и понятное, но мои цифры расспознает очень плохо. Теперь появился повод углубиться в изучение нейронок и научить распознавать мои цифры."
108,AttributeError: module 'utils' has no attribute 'load_dataset'
109,"Бро, спасибо за твою работу только новичку не понятно не слова. Это для тех кто в теме, а можеш сделать самую простую нейронку чтобы было понятно новичку? где каждая строчка кода была бы обьяснена? заранее спасибо"
110,"что-то я картинку свою сделал, нейросети скормил, а сетка её не распознаёт.
Говорит что моя 4 на самом деле 3. А если одну эпоху накинуть, то вообще 7."
111,У меня мозг расплавился😢❤
112,"у меня не грузится utils 
но он у меня установлен проверено"
113,10 != 18
114,"Распознает текст уже начало, но хотелось бы чтобы искала информацию и давала результат после обработки"
115,"А как написать нейровирус, который будет давать непрошенные советы? 
Я кажется смогу это использовать 😂"
116,Хлам и музычка
117,😮
118,Так выглядит буква З
119,"Вообще в качестве обучения, ты использовал  метод градиентного спуска , в который входит так же обратное распространение ошибки"
120,https://www.youtube.com/watch?v=RJCIYBAAiEI - Плагиат
121,"Хауди Хо, Я занимаюсь программированием на java а python учить лень. пожалуйста сделай урок по нейросетям на java. кто со мной согласен ставьте лайк"
122,Спасибо за видео но как потом юзать сеть которая может определять буквы в картинках 28х28? Что дальше делать с ней? Фотографии имеют размеры на тысячи пикселей. Как в такой фотке найти цифры?
123,"Нифига не понял, но очень интересно. Пойду напишу нейросетку на стене на языке русском, нейросеть будет злить дворников да и вобще прохожих, ну это её основная функция будет 😁"
124,Очень круто! Спасибо большое!
125,"Здравствуй автор, а вы можете записать гайд по созданию и обучению нейронки и по сборке пк для обучения нейронки допустим на материнской плате X99 D4X8 с двумя сокетами под процессоры зеон ? Спасибо"
126,"Привет бро.Скормил код через Pydroid 3 на смартфоне,на две библиотеки он заругался установил,в сёрфинге библиотек замил numpy и вылезло много библиотек в процессе их установки,а именно rusnumpy была удалена jinja2,телефон летает модел Realme C3.Спасибо.Подписка PR+"
127,10:00 - а почему в импортах разрыв? так и должно быть?
128,"плохая нейросеть, веса находятся не точно, нормализация реализована не идеально, из-за этого точность распознования очень низкая, процентов 35. Дизлайк."
129,Нихрена не понял.
130,Благодарю! Повторил - работает! правда описочек по коду.... :-)
131,а теперь посмотри на свой код из видео и попробуй что либо оттуда извлечь
132,"хорошее видео! 
сжато и информативно..."
133,Можно гайд на тенсорфлоулайт для юнити?
134,"На самом деле из видео именно про основы я ничего не понял: какие среды используют для  работы с неросетями, ни того, как Пайтон используется для нейросетей — для полноценного понимания видео я уже должен был это знать."
135,А ты можешь создать программы прогнозируещий луккы джет?
136,Хауди настолько крутой что пишет любой сервис за 10 минут
137,"Цифру 5 распознаёт, но как бы я не изгалялся в рисовании и не увеличивал бы количество эпох, цифру 7 сетка никак не хочет распознавать. Выдала 3, 9 и 6)))"
138,"Неработает даже полностью скопированный код из ""custom-nn.zip"" что не так то ??"
139,"Не ""пайтон"", а ""пюфон"" )"
